Company,Country,Education,Employment Type,Experience,Id,Locality,Location,Postalcode,Posted At,Region,Salary,Skills,Title,Latitude,Longitude,Abbr,,,,,,
"Action for a Better Community, Inc.",US,Bachelor's Degree,FULL_TIME,1 to 2 years experience.,2b387592-8148-5720-a661-a2730061d14c,Rochester,POINT(-77.59785000 43.15929000),14604,2021-04-21T20:20Z,NY,$17.23 - $22.00 / hour,Emergency Handling,Head Start Teacher,43.15929,-77.59785,36,,,,,,
Magic Ears,US,Graduate Degree,PART_TIME,No experience required.,cfc728ee-e7f8-5538-b1ee-0f6a2d12e1d1,Atlanta,POINT(-84.38799000 33.74900000),,2021-04-16T04:49:23Z,GA,$19.00 - $26.00 / hour,"Vocabularies, Grammars, Teaching, Lesson Planning, Scheduling, Learning, Progress Reports",Teacher of English for Online Groups!,33.749,-84.38799,13,,,,,,
New York Life,US,High School,FULL_TIME,,8b6b33e1-8dfc-5274-b3e6-cda37f549fdc,Pittsburgh,POINT(-79.98361000 40.44037000),15219,2021-04-12T10:24:54Z,PA,"$65,000.00 - $120,000.00 / year","Self Motivation, Positive Attitude, Attention To Detail, Self Discipline, Trustworthy, Communication, Finance, Extroverted, Social Skills, Active Listening",Financial advisor/ Insurance Agent,40.44037,-79.98361,42,,,,,,
Macy's,US,High School,FULL_TIME,,4afef556-f659-50b9-b4a2-0f76c5e9fdd7,Cheshire,POINT(-72.91062000 41.50837000),,2021-05-01T16:33:58Z,CT,,"Forklift Truck, Material Handling, Warehousing, Palletizing, Mobile Devices, Scheduling","Power Equipment Operator, Cheshire - Full Time",41.50837,-72.91062,9,,,,,,
Kforce Finance and Accounting,US,Bachelor's Degree,FULL_TIME,At least 3 years experience.,27f8c963-1523-5a6f-b744-ea82f14ee529,Appleton,POINT(-88.35307000 44.24554000),54915,2021-04-26T18:25:36Z,WI,Competitive,"Microsoft Excel, Derivatives, Revenues, Accounting, Certified Public Accountant, Data Manipulation, Business Process Improvement, Information Technology",Accounting Manager,44.24554,-88.35307,55,,,,,,
"Diverse Staffing, Inc",US,,FULL_TIME,,9b65329d-c1f0-5875-9c8b-05189a8d3aab,Indianapolis,POINT(-86.23618000 39.89981000),46268,2021-05-03T12:05:23Z,IN,$13.50/ hour,Packaging And Labeling,Warehouse Pick n Pack,39.89981,-86.23618,18,,,,,,
Amazon,US,High School,FULL_TIME,,3aee8b61-11d9-5dff-967e-10aaa7bcc76d,Clarksville,POINT(-76.94556000 39.20620000),21029,2021-05-03T15:45:24Z,MD,,"Scheduling, Warehousing, Packing",Amazon Warehouse Assistant (Evening Shifts) - Earn up to $18.80/hr,39.2062,-76.94556,24,,,,,,
Experis,US,,FULL_TIME,At least 5 years experience.,f4ec9c4f-706b-5c6d-bd06-6c12e654168d,Baltimore,POINT(-76.61219000 39.29039000),,2021-04-15T13:18:48Z,MD,,"Databases, Data Analysis, Information Technology, Visual Basic .NET (Programming Language), JQuery, JavaScript (Programming Language), Nice (Unix Utility), SQL (Programming Language), Student Information Systems, Mathematical Optimization, Computer Systems, .NET Framework, C Sharp (Programming Language), Amazon Web Services, Microsoft Azure",Software Engineer,39.29039,-76.61219,24,,,,,,
Premium Retail Services,US,,PART_TIME,,d8d2ebb6-aa90-51e3-908d-a405880274fa,Hollywood,POINT(-80.14949000 26.01120000),,2021-04-15T15:22:30Z,FL,,,Walmart Retail Specialist,26.0112,-80.14949,12,,,,,,
Amazon,US,High School,FULL_TIME,,3dd38d46-4c91-5654-8701-ef15ec148a59,Southaven,POINT(-90.00230000 34.99186000),,2021-05-03T04:28:13Z,MS,,"Hardworking And Dedicated, Health Care Benefits, Scheduling, English Language",Warehouse Attendant (Weekend Shifts Available) - Earn up to $16.80/hr,34.99186,-90.0023,28,,,,,,
Hunter Technical Resources,US,Bachelor's Degree,FULL_TIME,,6ab226b6-c956-5b0e-a590-d3153a5e81d6,Smyrna,POINT(-84.53795000 33.85983000),30082,2021-04-19T10:59:03Z,GA,,"Databases, Reports, Information Management, Data Mining, Indicators, Analytical, Data Collection, Data Analysis, Multitasking, Database Design, Data Quality, Economics, Computer Sciences, Management, Data System, Statistical Packages, Extract Transform Load (ETL), Statistics",Data Analyst,33.85983,-84.53795,13,,,,,,
Elite Staffing Inc.,US,,FULL_TIME,No experience required.,82ae88df-6f5e-54f7-b6d8-e426872f2274,Cicero,POINT(-87.76649000 41.84837000),60804,2021-04-05T10:05:48Z,IL,$13.00/ hour,,Warehouse Worker,41.84837,-87.76649,17,,,,,,
Pro Staff,US,High School,CONTRACTOR,,880d28a0-9f58-54e2-a441-697398017354,Plymouth,POINT(-93.42168000 45.05158000),55442,2021-04-14T16:45:29Z,MN,$17.00 - $18.65 / hour,"Testing, Assembling, Cleanrooms",Medical Assembler 3,45.05158,-93.42168,27,,,,,,
PWC,US,Bachelor's Degree,FULL_TIME,At least 1 year experience.,b7412dc9-031f-545a-914c-a5cbb1b5c7f1,Cleveland,POINT(-81.69436000 41.49932000),,2021-05-01T01:37:30Z,OH,,"Generally Accepted Auditing Standards, Generally Accepted Accounting Principles, Financial Auditing, Financial Statements, Public Company Accounting Oversight Board, Leverage, Technical Accounting, Corporate Governance, Business Model, Accounting, Management, Learning, Research, Certified Public Accountant, Assurance Services, Consulting, Professional Services, Business Acumen, Leadership, Risk Management, Economics, Communication, Documentation, Customer Service",External Audit Experienced Associate - Cleveland/Pittsburgh,41.49932,-81.69436,39,,,,,,
